Location,Date,Time,Event/Artist
Where in the Woods,Tuesday June 11 2024,7:00 PM - 8:00 PM,Hannah Rad
Where in the Woods,Tuesday June 11 2024,8:30 PM - 10:00 PM,Ranger Trucco
Where in the Woods,Tuesday June 11 2024,10:30 PM - 12:00 AM,ALLEYCVT
Where in the Woods,Tuesday June 11 2024,12:30 AM - 2:00 AM,Flying Mojito Bros
Where in the Woods,Wednesday June 12 2024,5:00 PM - 7:00 PM,Pocket
Where in the Woods,Wednesday June 12 2024,7:00 PM - 9:00 PM,Sicaria
Where in the Woods,Wednesday June 12 2024,9:00 PM - 11:00 PM,Machinedrum
Where in the Woods,Wednesday June 12 2024,11:00 PM - 1:00 AM,ÆON
Where in the Woods,Wednesday June 12 2024,1:00 AM - 2:30 AM,Chase & Status
Where in the Woods,Thursday June 13 2024,5:00 PM - 7:00 PM,Stoley
Where in the Woods,Thursday June 13 2024,7:00 PM - 8:00 PM,Saffron Stone
Where in the Woods,Thursday June 13 2024,8:00 PM - 10:00 PM,Hank
Where in the Woods,Thursday June 13 2024,11:00 PM - 1:00 AM,Deeper Purpose
Where in the Woods,Thursday June 13 2024,1:00 AM - 3:00 AM,Kyle Watson
Where in the Woods,Thursday June 13 2024,3:00 AM - 5:00 AM,Fisher
Where in the Woods,Friday June 14 2024,8:00 PM - 10:00 PM,Dombrance
Where in the Woods,Friday June 14 2024,1:00 AM - 3:00 AM,Kill Safari
Where in the Woods,Friday June 14 2024,3:00 AM - 5:00 AM,SVDDEN DEATH DEADCROW
Where in the Woods,Saturday June 15 2024,7:00 PM - 8:30 PM,Star Seed
Where in the Woods,Saturday June 15 2024,8:30 PM - 9:30 PM,Yetep
Where in the Woods,Saturday June 15 2024,9:30 PM - 10:30 PM,Last Heroes
Where in the Woods,Saturday June 15 2024,10:00 PM - 12:00 AM,Jason Ross
Where in the Woods,Saturday June 15 2024,12:00 AM - 2:00 AM,Seven Lions
Where in the Woods,Saturday June 15 2024,3:00 AM - 5:00 AM,VNSSA B2B Nala
Where in the Woods,Sunday June 16 2024,11:30 PM - 1:30 AM,Alison Wonderland
The Rest Stop,Tuesday June 11 2024,,No shows listed
The Rest Stop,Wednesday June 12 2024,1:00 PM - 3:00 PM,The Bottom Knox -Sustainable Patch Making with George Habeeb-
The Rest Stop,Wednesday June 12 2024,7:00 PM - 8:30 PM,CorePower Yoga
The Rest Stop,Thursday June 13 2024,8:00 AM - 9:30 AM,CorePower Yoga
The Rest Stop,Thursday June 13 2024,10:00 AM - 2:00 PM,Wild Waves Tarot & Astrology
The Rest Stop,Thursday June 13 2024,10:00 AM - 3:00 PM,The Bottom Knox -Movement Tool Kit with Knox Community Street Dance-
The Rest Stop,Thursday June 13 2024,11:30 AM - 12:00 PM,Calling All Crows Bystander Workshop
The Rest Stop,Thursday June 13 2024,12:30 PM - 1:30 PM,IamBonnaroo
The Rest Stop,Friday June 14 2024,8:00 AM - 9:30 AM,CorePower Yoga
The Rest Stop,Friday June 14 2024,10:00 AM - 11:00 AM,Narcan Training with This Must Be The Place
The Rest Stop,Friday June 14 2024,10:00 AM - 2:00 PM,Wild Waves Tarot & Astrology
The Rest Stop,Friday June 14 2024,11:00 AM - 3:00 PM,The Bottom Knox -Journaling 101 with Jazzmin Witherspoon and Sandra Warimu-
The Rest Stop,Friday June 14 2024,11:30 AM - 1:30 PM,IamBonnaroo
The Rest Stop,Saturday June 15 2024,8:00 AM - 9:30 AM,CorePower Yoga
The Rest Stop,Saturday June 15 2024,10:00 AM - 11:00 AM,Yoga with Oui
The Rest Stop,Saturday June 15 2024,11:00 AM - 2:00 PM,The Bottom Knox -Collaging for a Cause with Mtvayion-
The Rest Stop,Saturday June 15 2024,12:00 PM - 1:00 PM,The Stories That Are Silenced: Bock Bahs and How We Can Fight Them
The Rest Stop,Saturday June 15 2024,1:30 PM - 3:00 PM,IamBonnaroo
The Rest Stop,Sunday June 16 2024,8:00 AM - 9:30 AM,CorePower Yoga
The Rest Stop,Sunday June 16 2024,10:00 AM - 11:00 AM,Yoga with Oui
The Rest Stop,Sunday June 16 2024,11:00 AM - 3:00 PM,The Bottom Knox -Herbal Wellness with Hall White-
The Rest Stop,Sunday June 16 2024,11:30 AM - 1:30 PM,IamBonnaroo
House of Yes,Tuesday June 11 2024,,No shows listed
House of Yes,Wednesday June 12 2024,8:00 PM - 10:00 PM,Dirty Circus
House of Yes,Wednesday June 12 2024,11:00 PM - 2:00 AM,Neon Nostalgia with Boyyyish & Ultra Violet
House of Yes,Thursday June 13 2024,11:00 AM - 2:00 PM,RootCob
House of Yes,Thursday June 13 2024,2:00 PM - 6:00 PM,LazerPantz Looney Lounge
House of Yes,Thursday June 13 2024,8:00 PM - 10:00 PM,Dirty Circus
House of Yes,Thursday June 13 2024,1:00 AM - 4:00 AM,The Clown Rave with Boyyyish & Ultra Violet
House of Yes,Friday June 14 2024,11:00 AM - 2:00 PM,RootCob
House of Yes,Friday June 14 2024,2:00 PM - 6:00 PM,LazerPantz Looney Lounge
House of Yes,Friday June 14 2024,12:00 AM - 4:00 AM,Night Owl Cinema: Queer AF
House of Yes,Saturday June 15 2024,12:00 PM - 2:00 PM,Pride Parade with House of Yes & Boyyyish
House of Yes,Saturday June 15 2024,2:00 PM - 4:00 PM,Pride Parade Afterparty
House of Yes,Saturday June 15 2024,12:00 AM - 4:00 AM,Night Owl Cinema: Camp Classics
House of Yes,Sunday June 16 2024,11:00 AM - 2:00 PM,RootCob
House of Yes,Sunday June 16 2024,2:00 PM - 6:00 PM,LazerPantz Looney Lounge
House of Yes,Sunday June 16 2024,11:00 PM - 3:00 AM,TechHouse Hoedown with Boyyyish & Ultra Violet
Groop Camp,Tuesday June 11 2024,,No shows listed
Groop Camp,Wednesday June 12 2024,11:00 AM - 11:45 AM,Totem Puppet Carpet Rave
Groop Camp,Wednesday June 12 2024,11:45 AM - 12:30 PM,Wanda
Groop Camp,Wednesday June 12 2024,12:30 PM - 1:15 PM,Milkk
Groop Camp,Wednesday June 12 2024,1:15 PM - 2:00 PM,Nobody's Darlings
Groop Camp,Wednesday June 12 2024,2:00 PM - 2:45 PM,Gas Hound
Groop Camp,Wednesday June 12 2024,2:45 PM - 3:30 PM,Mono Means One
Groop Camp,Wednesday June 12 2024,3:30 PM - 4:15 PM,Rae and the Ragdolls
Groop Camp,Wednesday June 12 2024,4:15 PM - 5:00 PM,Secret Groop Plaza Headliner
Groop Camp,Thursday June 13 2024,10:00 AM - 11:00 AM,Laurel Englesson Yoga
Groop Camp,Friday June 14 2024,10:00 AM - 1:00 PM,Camp Redaroo Annual Craft Beer Exchange
Groop Camp,Saturday June 15 2024,1:00 PM - 2:00 PM,Paige Pierce Disc Golf
Groop Camp,Sunday June 16 2024,11:15 AM - 12:00 PM,Alexis Vauch Yoga
Galactic Giddy Up,Tuesday June 11 2024,,No shows listed
Galactic Giddy Up,Wednesday June 12 2024,1:00 PM - 1:45 PM,Yomi That Harpist
Galactic Giddy Up,Wednesday June 12 2024,8:00 PM - 9:00 PM,Jive Talk
Galactic Giddy Up,Wednesday June 12 2024,9:30 PM - 10:30 PM,Angel White
Galactic Giddy Up,Wednesday June 12 2024,11:00 PM - 12:00 AM,Boot Scootin' Boogie Nights
Galactic Giddy Up,Wednesday June 12 2024,1:00 AM - 1:45 AM,Yomi That Harpist
Galactic Giddy Up,Thursday June 13 2024,9:30 AM - 10:15 AM,Yomi That Harpist
Galactic Giddy Up,Thursday June 13 2024,11:00 AM - 12:00 PM,Chapel Hart
Galactic Giddy Up,Thursday June 13 2024,12:30 PM - 1:30 PM,Will Jones
Galactic Giddy Up,Thursday June 13 2024,2:00 PM - 3:00 PM,Kat Hasty
Galactic Giddy Up,Thursday June 13 2024,3:30 PM - 4:30 PM,Maggie Antone
Galactic Giddy Up,Thursday June 13 2024,6:30 PM - 7:15 PM,Yomi That Harpist
Galactic Giddy Up,Friday June 14 2024,9:00 AM - 10:00 AM,Yomi That Harpist
Galactic Giddy Up,Friday June 14 2024,11:00 AM - 11:40 AM,Mon Rovîa
Galactic Giddy Up,Friday June 14 2024,12:30 PM - 1:30 PM,Cale Tyson
Galactic Giddy Up,Friday June 14 2024,2:00 PM - 3:00 PM,Taylor Hunnicutt
Galactic Giddy Up,Friday June 14 2024,3:30 PM - 4:30 PM,EDM Linedancing w/ The Festival Babes
Galactic Giddy Up,Friday June 14 2024,5:00 PM - 6:00 PM,Yomi That Harpist
Galactic Giddy Up,Saturday June 15 2024,9:30 AM - 10:15 AM,Yomi That Harpist
Galactic Giddy Up,Saturday June 15 2024,11:00 AM - 12:00 PM,Yer Flowers
Galactic Giddy Up,Saturday June 15 2024,12:30 PM - 1:30 PM,Eli Winders
Galactic Giddy Up,Saturday June 15 2024,1:30 PM - 2:30 PM,Matt Schuster
Galactic Giddy Up,Saturday June 15 2024,5:00 PM - 6:00 PM,Yomi That Harpist
Galactic Giddy Up,Sunday June 16 2024,9:00 AM - 10:00 AM,Yomi That Harpist
Galactic Giddy Up,Sunday June 16 2024,11:00 AM - 12:00 PM,Jobi Riccio
Galactic Giddy Up,Sunday June 16 2024,1:00 PM - 2:00 PM,Frayne Vibez
Galactic Giddy Up,Sunday June 16 2024,2:30 PM - 3:30 PM,Tyler Halverson
Other Events,Thursday June 13 2024,7:30 PM - 8:15 PM,Feel Good Flow w/ Reyna Cohan
Other Events,Thursday June 13 2024,10:00 PM - 11:00 PM,Crowe Boys
Other Events,Thursday June 13 2024,12:00 AM - 1:30 AM,Eggy
Other Events,Thursday June 13 2024,2:15 AM - 3:15 AM,Geese